RingId,Name,Age,Type,Color,Status,ForSale
AUTO1,Bird1,20,Parrot,Black,Sold,False
AUTO2,Bird2,7,Parrot,Yellow,Quarantine,False
AUTO3,Bird3,9,Eagle,White,Quarantine,True
AUTO4,Bird4,1,Finch,Black,Quarantine,False
AUTO5,Bird5,9,Owl,White,In Aviary,True
AUTO6,Bird6,18,Cockatiel,Blue,In Aviary,True
AUTO7,Bird7,12,Eagle,White,In Aviary,False
AUTO8,Bird8,8,Finch,Black,In Aviary,False
AUTO9,Bird9,10,Parrot,Yellow,In Aviary,False
AUTO10,Bird10,10,Finch,Blue,Quarantine,False
AUTO11,Bird11,18,Parrot,Green,In Aviary,False
AUTO12,Bird12,18,Eagle,White,Sold,True
AUTO13,Bird13,23,Parrot,Blue,Quarantine,True
AUTO14,Bird14,22,Finch,White,In Aviary,False
AUTO15,Bird15,18,Cockatiel,Yellow,In Aviary,False
AUTO16,Bird16,11,Finch,Blue,In Aviary,False
AUTO17,Bird17,24,Finch,Red,Quarantine,False
AUTO18,Bird18,20,Finch,Yellow,Quarantine,True
AUTO19,Bird19,13,Cockatiel,Blue,In Aviary,True
AUTO20,Bird20,5,Eagle,White,Quarantine,False
AUTO21,Bird21,24,Cockatiel,Black,Quarantine,True
AUTO22,Bird22,9,Finch,Green,Quarantine,True
AUTO23,Bird23,23,Cockatiel,White,In Aviary,True
AUTO24,Bird24,8,Cockatiel,Yellow,In Aviary,True
AUTO25,Bird25,6,Finch,Green,Sold,True
AUTO26,Bird26,4,Cockatiel,White,Sold,True
AUTO27,Bird27,6,Finch,Red,In Aviary,True
AUTO28,Bird28,22,Owl,Red,Quarantine,False
AUTO29,Bird29,18,Eagle,Black,In Aviary,True
AUTO30,Bird30,7,Parrot,Green,Sold,True
AUTO31,Bird31,2,Eagle,Black,Quarantine,False
AUTO32,Bird32,3,Parrot,Blue,Quarantine,True
AUTO33,Bird33,6,Owl,Black,Sold,True
AUTO34,Bird34,19,Owl,White,Quarantine,False
AUTO35,Bird35,24,Finch,Blue,Quarantine,True
AUTO36,Bird36,13,Parrot,Black,In Aviary,True
AUTO37,Bird37,14,Owl,White,Sold,True
AUTO38,Bird38,14,Owl,Blue,In Aviary,True
AUTO39,Bird39,6,Parrot,Blue,In Aviary,True
AUTO40,Bird40,5,Eagle,Yellow,Sold,True
AUTO41,Bird41,7,Cockatiel,Black,In Aviary,False
AUTO42,Bird42,23,Parrot,Black,Quarantine,False
AUTO43,Bird43,21,Finch,Green,Sold,True
AUTO44,Bird44,16,Cockatiel,White,In Aviary,False
AUTO45,Bird45,12,Owl,Black,Sold,True
AUTO46,Bird46,5,Cockatiel,Red,Sold,True
AUTO47,Bird47,18,Finch,Red,Quarantine,False
AUTO48,Bird48,12,Eagle,Blue,Sold,False
AUTO49,Bird49,6,Finch,Green,Quarantine,False
AUTO50,Bird50,20,Finch,Green,Quarantine,True
AUTO51,Bird51,2,Cockatiel,Black,Quarantine,False
